,frame
135,LEVEL01PLAYER220410BULLET170501ENEMY_WEAK-1-100071202071602ENEMY_STRONG040803041204041604ENEMY_UFO000005BOMB090302
136,LEVEL01PLAYER220410BULLET170501ENEMY_WEAK-1-100071202071602ENEMY_STRONG040803041204041604ENEMY_UFO000005BOMB100302
137,LEVEL01PLAYER220410BULLET160501ENEMY_WEAK-1-100071202071602ENEMY_STRONG040803041204041604ENEMY_UFO000005BOMB100302
138,LEVEL01PLAYER220410BULLET160501ENEMY_WEAK-1-100071202071602ENEMY_STRONG040803041204041604ENEMY_UFO000005BOMB110302
139,LEVEL01PLAYER220310BULLET160501ENEMY_WEAK-1-100071202071602ENEMY_STRONG040803041204041604ENEMY_UFO000005BOMB110302
140,LEVEL01PLAYER220310BULLET150501ENEMY_WEAK-1-100071202071602ENEMY_STRONG040803041204041604ENEMY_UFO000005BOMB110302
141,LEVEL01PLAYER220310BULLET150501ENEMY_WEAK-1-100071202071602ENEMY_STRONG040803041204041604ENEMY_UFO000005BOMB120302
142,LEVEL01PLAYER220310BULLET140501ENEMY_WEAK-1-100071202071602ENEMY_STRONG040803041204041604ENEMY_UFO000005BOMB120302
143,LEVEL01PLAYER220310BULLET130501ENEMY_WEAK-1-100071202071602ENEMY_STRONG040803041204041604ENEMY_UFO000005BOMB120302
144,LEVEL01PLAYER220310BULLET130501ENEMY_WEAK-1-100071202071602ENEMY_STRONG040803041204041604ENEMY_UFO000005BOMB130302
145,LEVEL01PLAYER220310BULLET120501ENEMY_WEAK-1-100071202071602ENEMY_STRONG040803041204041604ENEMY_UFO000005BOMB130302
146,LEVEL01PLAYER220310BULLET120501ENEMY_WEAK-1-100071202071602ENEMY_STRONG040803041204041604ENEMY_UFO000005BOMB140302
147,LEVEL01PLAYER220310BULLET110501ENEMY_WEAK-1-100071202071602ENEMY_STRONG040803041204041604ENEMY_UFO000005BOMB140302
148,LEVEL01PLAYER220310BULLET110501ENEMY_WEAK-1-100071202071602ENEMY_STRONG040803041204041604ENEMY_UFO000005BOMB150302
149,LEVEL01PLAYER220310BULLET100501ENEMY_WEAK-1-100071202071602ENEMY_STRONG040803041204041604ENEMY_UFO000005BOMB150302
150,LEVEL01PLAYER220210BULLET100501ENEMY_WEAK-1-100071202071602ENEMY_STRONG040803041204041604ENEMY_UFO000005BOMB150302
151,LEVEL01PLAYER220210BULLET090501ENEMY_WEAK-1-100071102071502ENEMY_STRONG040703041104041504ENEMY_UFO000005BOMB150302
152,LEVEL01PLAYER220210BULLET090501ENEMY_WEAK-1-100071102071502ENEMY_STRONG040703041104041504ENEMY_UFO000005BOMB160302
153,LEVEL01PLAYER220210BULLET080501ENEMY_WEAK-1-100071102071502ENEMY_STRONG040703041104041504ENEMY_UFO000005BOMB160302
154,LEVEL01PLAYER220310BULLET080501ENEMY_WEAK-1-100071102071502ENEMY_STRONG040703041104041504ENEMY_UFO000005BOMB160302
155,LEVEL01PLAYER220310BULLET080501ENEMY_WEAK-1-100071102071502ENEMY_STRONG040703041104041504ENEMY_UFO000005BOMB170302
156,LEVEL01PLAYER220310BULLET070501ENEMY_WEAK-1-100071102071502ENEMY_STRONG040703041104041504ENEMY_UFO000005BOMB170302
157,LEVEL01PLAYER220310BULLET070501ENEMY_WEAK-1-100071102071502ENEMY_STRONG040703041104041504ENEMY_UFO000005BOMB180302
158,LEVEL01PLAYER220210BULLET060501ENEMY_WEAK-1-100071102071502ENEMY_STRONG040703041104041504ENEMY_UFO000005BOMB180302
159,LEVEL01PLAYER220210BULLET050501ENEMY_WEAK-1-100071102071502ENEMY_STRONG040703041104041504ENEMY_UFO000005BOMB180302
160,LEVEL01PLAYER220210BULLET050501ENEMY_WEAK-1-100071102071502ENEMY_STRONG040703041104041504ENEMY_UFO000005BOMB190302
161,LEVEL01PLAYER220210BULLET040501ENEMY_WEAK-1-100071102071502ENEMY_STRONG040703041104041504ENEMY_UFO000005BOMB190302
162,LEVEL01PLAYER220210BULLET040501ENEMY_WEAK-1-100071102071502ENEMY_STRONG040703041104041504ENEMY_UFO000005BOMB200302
163,LEVEL01PLAYER220210BULLET030501ENEMY_WEAK-1-100071102071502ENEMY_STRONG040703041104041504ENEMY_UFO000005BOMB200302
